50000.000000000000 54519.792531874990 master-laboca-20070517-to-20080228.rcp
54519.792531874990 54613.257928784726 master-laboca-20080228-to-20080527.rcp
54613.257928784727 54638.977440115741 master-laboca-20080527-to-20080615.rcp
54638.977440115741 54724.000000000000 master-laboca-20080228-to-20080527.rcp
54724.000000000000 54780.000000000000 master-laboca-20080922-to-20081102.rcp
54780.000000000000 54863.000000000000 master-laboca-20081117-to-20081231.rcp
54863.000000000000 54956.000000000000 master-laboca-20090315-to-20090501.rcp
54956.000000000000 55250.000000000000 master-laboca-20090506-to-20090527.rcp
55250.000000000000 55341.80           master-laboca-20100303-to-20100413.rcp
55341.90           55347.6790         master-laboca-20100526.rcp
55347.6800         55408.00           master-laboca-20100303-to-20100413.rcp
55408.00	   60000.00	      laboca-2010-08.rcp
